AGE,AFFL,CLASS,REGION_North,NGROUP_ORDER,EMAIL,GENDER_Female,GENDER_Male,GENDER_Others,RESPONSE
0.8696192624648957,0.27586206896551724,1.0,1.0,0.6666666666666666,0.0,0.0,0.0,1.0,0.0
0.7006123106670965,0.3103448275862069,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0.5802679434648497,0.24137931034482757,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,1.0,0.0,0.0
0.9184199622485154,0.27586206896551724,0.6666666666666667,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.0
0.5722707795710043,0.2068965517241379,0.3333333333333333,1.0,1.0,1.0,1.0,0.0,0.0,0.0
0.8474747939781777,0.24137931034482757,0.6666666666666667,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.0
0.6445375443119563,0.24137931034482757,0.6666666666666667,1.0,0.5,1.0,1.0,0.0,0.0,0.0
0.6972054693614473,0.2068965517241379,0.6666666666666667,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,1.0
0.6205515399843469,0.24137931034482757,0.6666666666666667,0.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.0
0.7560425394779244,0.1724137931034483,0.6666666666666667,1.0,0.6666666666666666,1.0,0.0,1.0,0.0,0.0
0.6747847704985959,0.27586206896551724,0.6666666666666667,0.0,0.5,0.0,0.0,1.0,0.0,0.0
0.6498319598545188,0.27586206896551724,0.3333333333333333,1.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.0
0.34524193177109713,0.3103448275862069,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0.21011923944569771,0.3103448275862069,0.0,0.0,0.5,1.0,1.0,0.0,0.0,1.0
0.5077114313337323,0.27586206896551724,0.0,0.0,0.6666666666666666,0.0,1.0,0.0,0.0,1.0
0.33106210579623413,0.3103448275862069,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,1.0,0.0
0.26407623958381293,0.3448275862068965,0.0,0.0,0.5,1.0,0.0,1.0,0.0,0.0
0.4322084618571889,0.24137931034482757,0.3333333333333333,0.0,0.16666666666666666,1.0,1.0,0.0,0.0,1.0
0.30836517655724877,0.27586206896551724,0.0,1.0,0.6666666666666666,1.0,1.0,0.0,0.0,1.0
0.7941162929883523,0.10344827586206896,0.6666666666666667,1.0,1.0,0.0,0.0,1.0,0.0,0.0
0.49638598591225086,0.3103448275862069,0.3333333333333333,1.0,0.8333333333333333,0.0,0.0,1.0,0.0,0.0
0.9030891763730953,0.3103448275862069,0.6666666666666667,0.0,0.5,0.0,1.0,0.0,0.0,0.0
0.8972423000782652,0.24137931034482757,0.3333333333333333,1.0,0.16666666666666666,0.0,0.0,1.0,0.0,1.0
0.7608305326642419,0.27586206896551724,0.6666666666666667,1.0,0.6666666666666666,0.0,0.0,1.0,0.0,0.0
